Tipo documento;Nacionalidad;GÈnero;Fecha nacimiento;PaÌs residencia;Municipio residencia;Estrato vivienda;Personas hogar;Tiene internet;Tiene computador;Colegio gÈnero;Calendario;Colegio ·rea;Jornada;Lectura crÌtica;DesempeÒo lectura critica;Matem·ticas;DesempeÒo matem·ticas;Ciencias naturales;DesempeÒo naturales;Ciencias sociales;DesempeÒo sociales;Ingles;DesempeÒo ingles;Puntaje global;Percentil global
TI;COLOMBIA;M;24/03/2000;COLOMBIA;JAMUNDÕ;Estrato 4;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;65;3;62;3;59;3;52;2;65;A2;300;54
CC;COLOMBIA;F;4/02/1974;COLOMBIA;CARTAGO;Estrato 3;5 a 6;Si;No;MIXTO;B;URBANO;SABATINA;51;3;24;1;46;2;49;2;55;A1;217;17
TI;COLOMBIA;M;8/07/2000;COLOMBIA;BOGOT¡Å D.C.;Estrato 2;1 a 2;No;Si;MIXTO;A;URBANO;SABATINA;31;1;25;1;37;1;47;2;43;A-;178;4
TI;COLOMBIA;M;2/04/2001;COLOMBIA;CALI;Estrato 5;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;69;4;70;3;68;3;61;3;72;B1;337;74
TI;COLOMBIA;F;11/04/2001;COLOMBIA;CALI;Estrato 4;5 a 6;Si;Si;MIXTO;B;URBANO;MA—ANA;46;2;47;2;55;2;47;2;50;A1;244;28
TI;COLOMBIA;F;1/10/1994;COLOMBIA;CALI;Estrato 6;5 a 6;Si;No;MIXTO;B;URBANO;SABATINA;39;2;34;1;31;1;32;1;30;A-;168;2
CC;COLOMBIA;F;7/09/1958;COLOMBIA;CALI;Estrato 3;3 a 4;Si;Si;MIXTO;B;URBANO;NOCHE;30;1;37;2;31;1;37;1;40;A-;171;3
CC;COLOMBIA;M;16/04/1999;COLOMBIA;CALI;Estrato 1;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;55;3;48;2;57;3;53;2;58;A2;268;39
TI;COLOMBIA;F;22/01/2001;COLOMBIA;CALI;Estrato 6;3 a 4;Si;Si;MIXTO;B;URBANO;COMPLETA;62;3;50;2;63;3;68;3;84;B+;313;60
TI;COLOMBIA;F;22/09/2000;COLOMBIA;CALI;Estrato 2;3 a 4;Si;Si;FEMENINO;B;URBANO;COMPLETA;61;3;59;3;61;3;66;3;67;A2;311;59
CR;COLOMBIA;M;13/10/1999;COLOMBIA;CALI;Estrato 4;5 a 6;Si;Si;MIXTO;B;RURAL;COMPLETA;65;3;77;4;70;3;74;4;82;B+;362;87
